plot,alder.flycatcher,american.dipper,american.pipit,american.robin,american.wigeon,arctic.tern,american.threetoed.woodpecker,bald.eagle,barrows.goldeneye,bank.swallow,blackbilled.magpie,blackcapped.chickadee,belted.kingfisher,blackpoll.warbler,bluewinged.teal,boreal.chickadee,bohemian.waxwing,bonapartes.gull,brown.creeper,canada.goose,canada.jay,canvasback,common.goldeneye,common.loon,common.raven,common.redpoll,darkeyed.junco,downy.woodpecker,fox.sparrow,gadwall,goldencrowned.kinglet,goldencrowned.sparrow,greater.scaup,greater.yellowlegs,herring.gull.hybrid,greenwinged.teal,hairy.woodpecker,hermit.thrush,least.sandpiper,lesser.scaup,lesser.yellowlegs,lincolns.sparrow,mallard,mew.gull,merlin,northern.flicker,northern.goshawk,northern.harrier,northern.pintail,northern.waterthrush,northern.shoveler,orangecrowned.warbler,olivesided.flycatcher,pine.siskin,redbreasted.nuthatch,rubycrowned.kinglet,ringnecked.duck,rednecked.grebe,rednecked.phalarope,redtailed.hawk,redthroated.loon,rusty.blackbird,sandhill.crane,savannah.sparrow,semipalmated.plover,shortbilled.dowitcher,solitary.sandpiper,spotted.sandpiper,sharpshinned.hawk,swainsons.thrush,townsends.solitaire,townsends.warbler,tree.swallow,trumpeter.swan,varried.thrush,violetgreen.swallow,whitecrowned.sparrow,westernwood.peewe,wilsons.snipe,wilsons.warbler,whitewinged.crossbill,yellow.warbler,yellowrumped.warbler
443,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0
444,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,2,0,0,8,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,2,0,10,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,4,0,0,0,12
502,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4
508,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,6,0,0,0,0,0,0,8,8,0,0,0,0,0,2,0,0,0,6,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,2
616,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
645,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,10,0,0,0,2,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,4,0,0,0,4,0,0,0,10
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,10,0,0,0,2,0,0,4,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,2,0,0,2,0,0,2,0,0,0,14,0,0,0,0,2,0,0,0,8,0,2,0,4
