plot,alder.flycatcher,american.dipper,american.pipit,american.robin,american.wigeon,arctic.tern,american.threetoed.woodpecker,bald.eagle,barrows.goldeneye,bank.swallow,blackbilled.magpie,blackcapped.chickadee,belted.kingfisher,blackpoll.warbler,bluewinged.teal,bohemian.waxwing,boreal.chickadee,bonapartes.gull,brown.creeper,canada.goose,canada.jay,canvasback,common.goldeneye,common.loon,common.raven,common.redpoll,darkeyed.junco,downy.woodpecker,fox.sparrow,gadwall,goldencrowned.kinglet,goldencrowned.sparrow,greater.scaup,greater.yellowlegs,herring.gull.hybrid,greenwinged.teal,hairy.woodpecker,hermit.thrush,least.sandpiper,lesser.scaup,lesser.yellowlegs,lincolns.sparrow,mallard,mew.gull,merlin,northern.flicker,northern.goshawk,northern.harrier,northern.pintail,northern.waterthrush,northern.shoveler,orangecrowned.warbler,olivesided.flycatcher,pine.siskin,redbreasted.nuthatch,rubycrowned.kinglet,ringnecked.duck,rednecked.grebe,rednecked.phalarope,redtailed.hawk,redthroated.loon,rusty.blackbird,sandhill.crane,savannah.sparrow,semipalmated.plover,shortbilled.dowitcher,solitary.sandpiper,spotted.sandpiper,sharpshinned.hawk,swainsons.thrush,townsends.solitaire,townsends.warbler,tree.swallow,trumpeter.swan,varried.thrush,violetgreen.swallow,whitecrowned.sparrow,westernwood.peewe,wilsons.snipe,wilsons.warbler,whitewinged.crossbill,yellow.warbler,yellowrumped.warbler
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
179,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
228,0,0,2,50,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,4,1,0,0,2,0,60,0,0,0,0,0,0,5,0,10,0,0,0,0,4,60,8,0,0,0,2,2,4,0,2,20,0,0,4,60,2,0,0,2,0,6,0,0,0,0,2,0,2,0,0,0,4,2,50,6,4,0,30,0,0,0,60
240,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8
326,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
382,0,0,0,6,4,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,10,16,4,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,2,0,0,0,2,4,2,0,0,0,0,12,0,8,0,4,0,16,4,0,0,14
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,2,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10
399,0,0,0,8,2,0,2,0,0,0,3,2,0,0,0,0,5,0,0,0,2,0,2,0,0,4,8,0,0,0,4,0,0,2,0,0,0,0,0,0,4,14,4,0,0,2,0,0,0,0,0,0,0,0,0,12,5,0,0,0,2,5,2,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,18,0,0,0,16
402,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,7,0,0,0,0,4,10,2,0,0,0,0,0,0,0,2,0,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,4,0,4,2,0,0,4
411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
413,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,12,0,0,4,4,6,10,16,0,0,0,0,0,0,0,4,2,0,0,0,4,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2,0,0,0,4,0,0,0,4
420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4
443,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,7,5,0,0,5,0,0,2,0,0,10,0,0,0,2,0,0,2,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14
444,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4
473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,8,0,0,0,0,0,0,0,4,2,0,0,0,12,0,0,0,4,0,0,0,0,0,16,0,0,0,6,0,0,0,0,2,0,2,0,0,2,6,0,1,0,0,2,2,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,14,0,0,0,10
502,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
508,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,0,0,0,4,0,0,0,0,0,0,2,2,2,0,0,0,6,15,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,2,0,2,0,0,2,32,2,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,6,0,14,4,0,0,8
616,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
645,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
1001,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,2,4,0,0,10,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4
